,document,number,content,meeting,topic_four,original label,meeting_number
text692,WCPFC10-2013-OP05,1,wcpfc10 tenth regular session nd december 6th december 2013 cairns australia ocean fad report on coastal troll fisheries aboard ocean joy wcpfc102013op05 december 2013,WCPFC10,strategy,session,10
text693,WCPFC10-2013-OP05,2,ocean fad report on coastal albacore troll fishery aboard fv ocean joy 2013,WCPFC10,governance,governance,10
text694,WCPFC10-2013-OP05,3,for the past 12 years iuu driftnet vessels have been targeting on north pacific albacore these are the same tuna stocks that are caught by us and canadian west coast artesian albacore troll and pole fishers this fish proves it,WCPFC10,governance,governance,10
text695,WCPFC10-2013-OP05,4,albacore tuna is a migratory species that travel from the coast of japan to the us and canadian west coast seasonally iuu driftnet fishing conducted in the north western pacific ocean stops this migratory pattern not only for the albacore but for all sea creatures such as dolphins turtles and whales why is there is no protection,WCPFC10,governance,governance,10
text696,WCPFC10-2013-OP05,5,july 13 2013 fv ocean joy departed monterey bay setting out for the albacore fishing grounds aboard is captain johnboy harder and new observer and crewmember kristy faure who is taking photos and documenting our season july 24 2013 our position is approximately 4438 north12555 west around 80 miles west of newport oregon which just happens to be the new hq of noaa by this time we have observed that two out of ten fish brought aboard have marks or scratches made by driftnets,WCPFC10,governance,session,10
text697,WCPFC10-2013-OP05,6,august 28th we returned to westport for unloading and crew change we returned to the sea on september 1st and headed south again this time all the way to eureka northern ca we found driftnet scratched fish there too 4035 n x 12532 w on the 4th of september,WCPFC10,governance,governance,10
text698,WCPFC10-2013-OP05,7,on september 6th we headed north all the way into canadian waters by september 15th we found ourselves off of vancouver island and caught this fish with gill net imbedded in its body everywhere we fished we had a sign of iuu driftnet activity,WCPFC10,governance,governance,10
text699,WCPFC10-2013-OP05,8,in conclusion iuu driftnet fishing continues to target albacore tuna in competition with local west coast sustainable troll pole fisheries enforcement agencies could stop this illegal fishing anytime but choose not to act,WCPFC10,governance,governance,10
text700,WCPFC10-2013-OP05,9,recommendations to the wcpfc10 required vms on all fishing vessels in the wcpfc exempt area north of 20n west of 175e as agreed upon at nc8 starting on january 1st2014 ban all transshipping for long line vessels if transshipping continues mandatory observer coverage on both ll vessels and carrier ships any vessel caught fishing or transshipping out of compliance be put on iuu list with no exceptions heavy fines for iuu vessel owners flag states,WCPFC10,transparency,fleet_transparency,10
text701,WCPFC10-2013-OP05,10,high seas driftnets were to be banned by the united nations in 1993 why they still thrive today can only be on account of greed,WCPFC10,governance,precautionary_approach,10
text702,WCPFC10-2013-OP06,1,commission tenth regular session nd december 6th december 2013 cairns australia position statement of the international game fish association fishing hall of fame museum wcpfc102013op06 december 2013,WCPFC10,strategy,session,10
text703,WCPFC10-2013-OP06,2,international game fish association fishing hall of fame museum gulf stream way dania beach florida 33004 usa phone 954 9272628 fax 954 9244299 museum fax 954 9244220,WCPFC10,governance,governance,10
text704,WCPFC10-2013-OP06,3,the international game fish association igfa is a nonprofit organization that represents recreational anglers throughout the world igfa was established in 1939 has active members in over 100 countries is the governing body for international recreational fishing and provides rules for ethical angling practices many of igfas members target the highly migratory species managed by wcpfc especially marlin sailfish and spearfish ie billfish which are primarily caught and released,WCPFC10,governance,governance,10
text705,WCPFC10-2013-OP06,4,igfa has great concern about how highly migratory species are being managed on a global level for recreational anglers the lack of data and accurate reporting on billfish catch is of particular concern as an organization that is committed to the conservation of game fishes igfa has deployed 81 popup satellite archival tags in marlin and sailfish around the world in the last two years 51 of which have been in waters under this organizations purview the information gained from this exercise is available to your scientific committee via our website at httpigmrigfaorg,WCPFC10,governance,governance,10
text706,WCPFC10-2013-OP06,5,the following are igfas recommendations for the 10th regular session of the wcpfc,WCPFC10,strategy,session,10
text707,WCPFC10-2013-OP06,6,billfish although primarily a commercial bycatch species billfish are highly sought after recreational species that are primarily caught and released we urge the wcpfc to manage all billfish at higher abundance levels than msy for recreational anglers the wcnpo stock of striped marlin is overfished and experiencing overfishing reducing fishing mortality would likely increase spawning stock biomass and may improve the chances of higher recruitment we recommend fishing at a constant catch of 2500 mt that would lead to potential increases in spawning biomass of 133 to 223 by 2017 although not currently overfished or experiencing overfishing we recommend that fishing mortality not be increased for blue marlin so that the stock can rebound to levels in excess of msy no formal stock assessments exist for sailfish and black marlin better data collection is necessary for these species so that their true abundance can be accurately estimated igfa further recommends implementing a prohibition on pacific billfish entering into international trade similar legislation has recently been passed at the request of igfa in the united states that now bans importation of marlin sailfish and spearfish into the continental united states we also recommend all countries be required to report dead discards and use circle hooks in their longline fisheries,WCPFC10,bycatch,fishing_mortality,10
text708,WCPFC10-2013-OP06,7,tuna the latest stock assessment indicates that pacific bluefin tuna have been reduced to only 36 of their virgin biomass necessitating the following actions,WCPFC10,bycatch,fishing_mortality,10
text709,WCPFC10-2013-OP06,8,adopt a rebuilding plan for pacific bluefin tuna that will return the population to 25ssbrecentf0 within the next 10 years establish a quota that includes all sources of pacific bluefin tuna mortality including artisanal fisheries and bycatch establish allocation keys so that each member has a specific quota under which to manage its fishery reduce the catch of juvenile pacific bluefin tuna by adopting a minimum size limit that will prevent,WCPFC10,strategy,fishing_mortality,10
text710,WCPFC10-2013-OP06,9,the international game fish association is a notforprofit organization committed to the conservation of game fish and the promotion of responsible ethical angling practices through science education rule making and record keeping email hqigfaorg website wwwigfaorg,WCPFC10,governance,governance,10
text711,WCPFC10-2013-OP06,10,overfishing of all age classes and allow more fish to reach maturity and contribute to the next generation implement an effective monitoring program and enforcement process with 100 observer coverage if effective management measures for catch reductions are not adopted in 2013 direct commercial pacific bluefin fisheries should be banned until these measures are put in place,WCPFC10,bycatch,fishing_mortality,10
text712,WCPFC10-2013-OP06,11,bigeye tuna is currently overfished igfa recommends the following actions,WCPFC10,bycatch,fishing_mortality,10
text713,WCPFC10-2013-OP06,12,longline catch limits should be set at levels low enough to result in a real reduction in fishing mortality eliminate the use of fads in the purse seine bigeye fishery establish fisheryspecific quotas for bigeye tuna,WCPFC10,bycatch,fishing_mortality,10
text714,WCPFC10-2013-OP06,13,sharks igfa recommends that wpcfc prohibit the removal of shark fins at sea to improve the enforcement of the shark finning ban we recommend banning wire traces on all longlines,WCPFC10,bycatch,bycatch,10
text715,WCPFC10-2013-OP06,14,iuu igfa recommends that wpcfc strengthen the controls against illegal unreported and unregulated iuu fishing,WCPFC10,transparency,fleet_transparency,10
text716,WCPFC10-2013-OP06,15,general recreational angling is an established and important economic entity in developed countries and a growing sector in many developing nations as such we ask that wcpfc recognize both its relevance and that it may necessitate alternate management objectives than those used in commercial fisheries igfa kindly offers its consultation to wcpfc on recreational fisheries issues,WCPFC10,governance,governance,10
text717,WCPFC10-2013-OP06,16,managing fisheries on the basis of msy is an excessively riskprone approach as such we suggest that wcpfc adopt a target objective below msy to compensate for biological environmental and data uncertainties many recreational fisheries are catch and release in nature where anglers prefer to catch more and bigger fish rather than to harvest fish managing stocks on the level of msy not only reduces the abundance of fish but also their average size maintaining stocks at higher abundances also benefits recreational anglers that release their fish and contributes to the substantial economic value of these fisheries we feel this is especially true with bycatch species such as marlin and sailfish that have little commercial value but great economic value to recreational anglers,WCPFC10,governance,governance,10
text718,WCPFC10-2013-OP06,17,the prevalence and importance of artisanal fisheries within the wcpfcs purview must be taken into consideration better catch data from these fisheries is necessary to evaluate their impact on hms fisheries,WCPFC10,transparency,harvest_strategy,10
text719,WCPFC10-2013-OP08,1,commission tenth regular sessionth december 6th december 2013 cairns australia statement of cites secretariat wcpfc102013op0805122013 1th regular session of the western and central pacific fisheries commission wcpfc cairns australia 26 december 2013 statement by the cites secretariat on behalf of the secretarygeneral of cites john scanlon we would like to sincerely thank you mr chairman for giving us the floor and express our gratitude to the government of australia for hosting this 10th regular session of wcpfc in cairns the convention on international trade in endangered species of wild fauna and flora cites is a legally binding international agreement between 179 countries including many members cooperating nonmembers and participating territories to this commission the interaction of cites with regional fisheries management organizations such as wcpfc has taken on new significance with the cites listing of several shark species that fall under the purview of the commission at the 16th meeting of the conference of the parties to cites cop16 in bangkok in march 2013 and because they met specific trade and biological listing criteria porbeagle shark lamna nasus oceanic whitetip shark carcharhinus longimanus scalloped hammerhead shark sphyrna lewini great hammerhead shark s mokarran and smooth hammerhead shark s zygaena as well as all manta rays manta spp were included in cites appendix ii meaning that international trade is strictly regulated and controlled to avoid utilization incompatible with their survival but is not prohibited the entry into effect of these listings has been delayed by 18 months until 14 september to enable cites parties to resolve technical and administrative issues related to their implementation from 14 september 2014 onward any international trade in specimens of these species will need to be accompanied by cites permits and certificates confirming that they have been harvested sustainably and legally and this trade will also need to be reported to the cites secretariat the collaboration between cites authorities and fishery agencies at national and regional levels will be essential for the effective implementation of these requirements and this will need to get assistance where required national and regional fishery management agencies and organizations have the main responsibility for managing fishery resources including sharks and rays cites as a global instrument for regulating international trade in listed wild species can complement fishery management to encourage fishery stakeholders managers and fishers alike to implement and follow sustainable and legal fishing practices for international commercial trade good fishery management measures based on the best scientific information available play a major role in the implementation of cites requirements for international trade in commerciallyexploited aquatic species to effectively implement the cites cop16 decisions for the 5 sharks and the manta rays the involvement of and support for a widerange of stakeholders will be needed the response to this challenge has been remarkable with a flurry of activities being put in place since march 2013 for which we are particularly grateful just to name a few australia and new zealand brazil china and germany as well as several ngos are planning regional capacity building workshops dealing with specific aspects of the cites shark listings identification 2 materials are being developed targeted needs assessments are being made guidelines to determine that proposed trade levels are sustainable are being established and the european union and the usa amongst others have pledged financial support for assisting these and other efforts the cites secretariat is also committed to assist cites parties especially developing countries in being able to comply with the cites requirements by 14 september 2014 the european union has generously provided 12 million euro to the cites secretariat to enhance the implementation of the legally binding cites regulatory measures for sharks we are closely cooperating with the fao fisheries and aquaculture department in this initiative our joint actions are aimed at enhancing the efforts of regional fisheries management organizations and at developing countries that are key shark fishing nations which need to strengthen their scientific institutional or enforcement capacities this initiative also involves outreach and communication the secretariat has just launched a dedicated webpage on sharks and cites with comprehensive and up to date information on a broad range of range of issues such as the citesfao collaboration and access to capacity building tools the webpage is a work in progress and will be further developed over time we invite you to visit it through our homepage at wwwcitesorg and will be happy to provide further assistance and help if and when required finally mr chairman the cites secretariat would greatly appreciate if this commission could consider at one of its future meetings a dedicated discussion on how wcpfc and cites could collaborate on issues and species of common interest including the sharks just mentioned we would be very willing to work together with the wcpfc secretariat and the members of the convention in this regard thank you for your attention,WCPFC10,governance,scientific_advice,10
text720,WCPFC10-2013-OP09,1,commission tenth regular session th december 6th december 2013 cairns australia,WCPFC10,strategy,session,10
text721,WCPFC10-2013-OP09,2,amercican fishermans research association and the american albacore fishing association wcpfc102013op09 06122013 page 1 of 6,WCPFC10,governance,governance,10
text722,WCPFC10-2013-OP09,4,a statement from the american fishermens research foundation and the american albacore fishing association page 2 of 6,WCPFC10,governance,governance,10
text723,WCPFC10-2013-OP09,6,starting in the mid1980s the american fishermens research foundation a c3 corporation funded by the harvester processor and supplier members of the western fishboat owners association joined with the us governments pacific fisheries development foundation to explore and expand the troll fishery for south pacific albacore1 the total budget for the first phase was 287800 the federal share 115000 and the afrfs share 172800 the project was to send two to four albacore troll vessels 6080 feet in length with crews of 2 to 4 to the south pacific to develop a us albacore fishery and to do albacore tagging the us vessels in cooperation with new zealand were given permission by dr robin allen then with the new zealand government to enter the new zealand eez in the area near chatham island new zealand thought obtaining data from the us cruises would be a good idea since,WCPFC10,governance,governance,10
text724,WCPFC10-2013-OP09,7,our knowledge of albacore distribution and commercial potential along the east coast is poor these vessels would provide valuable data for expanding nz albacore fishing and an opportunity to see innovations used in the north pacific high seas albacore trolling fishery2,WCPFC10,governance,governance,10
text725,WCPFC10-2013-OP09,8,during february and march of 1986 two troll vessels sometimes accompanied by noaas research vessel the townsend cromwell fished in waters between 38 and 41 s and 140 to 155 w and caught 100mt of albacore while tagging 702 albacore,WCPFC10,governance,governance,10
text726,WCPFC10-2013-OP09,9,a second phase of the 3 year project followed with the us supplying 360000 and afrf supplying 180000 for a total of over a half a million dollars to send 6 us troll vessels to fish for albacore during december 1986 to april of eventually 40 troll vessels went fishing in the area catching 4000 mt in the 1987 to 1988 season while tagging 1247 albacore,WCPFC10,governance,governance,10
text727,WCPFC10-2013-OP09,10,at that time most of the current members of the american albacore fishing association were members of wfoa memorandum of 4 dec 1986 talbot murray to dr robin allen and tom norris page 3 of 6,WCPFC10,governance,governance,10
text728,WCPFC10-2013-OP09,11,a third phase was conducted in december 1988 to april 1989 at an additional cost of 129000 with the us government and afrf again sharing the costs this part of the project was to send 40 albacore troll vessels to tag 2000 albacore in the south pacific fishing area,WCPFC10,governance,governance,10
text729,WCPFC10-2013-OP09,12,the thrust of this effort was to develop a fishery which could deliver to the two canneries in american samoa canneries in california and hawaii had been closed also in 1988 there had been a large influx of asian drift gillnet vessels taking albacore in the north and south pacific a log book sheet attached to one of the reports from the 19881989 season had the entry that because of gilnet sic damage we are tagging small fish to get the quality of fish you specified of the fish we are catching are gilnet sic marked 3,WCPFC10,governance,governance,10
text730,WCPFC10-2013-OP09,13,the us fleet was not alone in its efforts which resulted in the tagging of 783 albacore between 1986 and 1989 in cooperation with afrf new zealand tagged 1866 albacore and french polynesia tagged 190 the new zealand tagging occurred near shore on the west and east coast of the north island the us tagging occurred between 170 and 140 w and 38to 41 s4,WCPFC10,governance,governance,10
text731,WCPFC10-2013-OP09,15,the us troll fleet for south pacific albacore flourished from about 1987 through 2000 the fleet declined in the last several years primarily because of higher insurance and fuel costs and the reduction of cannery demand for troll caught fish in american samoa until recently in addition some of the carrier vessels used by the fleet to transship to american samoa have been taken out of service during that time the canneries in american samoa came to depend on foreign longline fleets for their source of albacore as can be seen from the chart below this fishery developed by the us was once a 5000 mt fishery employing over 50 vessels,WCPFC10,governance,governance,10
text732,WCPFC10-2013-OP09,16,final report for south pacific albacore tagging project saltonstallkennedy cooperative agreement na89aah00007 awarded to american fishermens research foundation october 11 1989 william l perkins summary of south pacific albacore tagging conducted during 19861989 swfsc admin report lj8915 laurs and nishimoto at page 2 page 4 of 6,WCPFC10,governance,governance,10
text733,WCPFC10-2013-OP09,18,year trips catch number of vessels 88 558 89 239 90 995 91 221 92 097 93 036 94 236 95 953 96 964 97 617 98 701 99 241 2000 562 01 128 02 218 03 678 04 05 06 07 08 09 10 116 12,WCPFC10,transparency,fleet_transparency,10
text734,WCPFC10-2013-OP09,19,recent developments in the focus of a processor in american samoa improved freezing and transportation capabilities and the growing public demand for fresh,WCPFC10,governance,governance,10
text735,WCPFC10-2013-OP09,20,these figures come from the pacific fishery management councils september 2011 safe report and for whatever reason are slightly different from the figures reflected in wcpfcsc92013gnip04 and wcpfcsc92013gnip04 figures on number of vessels and trips were not immediately available for 2011 and 2012 page 5 of 6,WCPFC10,transparency,fleet_transparency,10
text736,WCPFC10-2013-OP09,21,and fresh frozen troll caught albacore all suggest that this us developed south pacific albacore fishery can be very important to the us in the future,WCPFC10,governance,governance,10
text737,WCPFC10-2013-OP09,23,scientific papers from the spc and the wcpfcsc have repeatedly testified to the health of the south pacific albacore stock see wcpfc92012ip,WCPFC10,strategy,scientific_advice,10
text738,WCPFC10-2013-OP09,25,it might be appropriate to repeat part of the afrf closing statement in december of 2012,WCPFC10,governance,session,10
text739,WCPFC10-2013-OP09,26,as we have repeatedly indicated during informal discussions at these wcpfc meetings the us albacore troll fleet is very concerned as is te vaka moana and the ffa about the large increase in longline effort,WCPFC10,bycatch,fleet_capacity,10
text740,WCPFC10-2013-OP09,27,longline catches of south pacific albacore have risen dramatically in recent years and we as others are disappointed that the commission has not agreed upon conservation and management measures to protect this important resource,WCPFC10,governance,scientific_advice,10
text741,WCPFC10-2013-OP09,28,nevertheless it is prudent to repeat as the most recent scientific studies before this commission have proven there is no scientific evidence nor was there when 200503 was accepted by the commission that the south pacific albacore troll fishery has had or is having any adverse impact on the stocks nor has the effort in that fishery increased the spc the sc and the iattc have all concluding that the south pacific albacore stocks are above msy with no scientific basis to limit the effect of the us troll fishery the commission should not agree to amending cmm 200503 or its replacement ccm 20105 in any way that would inhibit the high seas us troll fleet,WCPFC10,bycatch,fleet_capacity,10
text742,WCPFC10-2013-OP09,29,it should also be remembered that as long ago as 2005 and carried through to the current ccm on south pacific albacore the commission is required to annually review the measure based on page 6 of 6,WCPFC10,bycatch,fleet_transparency,10
text743,WCPFC10-2013-OP09,30,sound scientific advice7 we look forward to working with our south pacific friend and neighbors in crafting a scientifically based and effectively enforced measure to be approved at wcpfc10,WCPFC10,transparency,scientific_advice,10
text744,WCPFC10-2013-OP09,32,the position of the us south pacific albacore troll harvesters remains firm there is no scientific or economic basis to close the high seas to the south pacific albacore troll fishery this fishery occurs entirely outside of any of the pacific island countries eezs,WCPFC10,governance,governance,10
text745,WCPFC11-2014-OP01,2,commission eleventh regular session faleata sports complex apia samoa 5 december 2014 issf position statement wcpfc112014op01 october 2014,WCPFC11,strategy,session,11
text746,WCPFC11-2014-OP01,4,issf position statement presented during the 11th regular session of the western and central pacific fisheries commission in apia samoa 1 5 december 2014 for further information please visit httpwwwissfoundationorg cmm 201301 bigeye and skipjack tuna the analyses presented at sc10 corroborate the fact that cmms adopted by wcpfc to end the overfishing of bigeye have been ineffective overfishing continues and the stock is now below the limit reference point adopted by the commission the purse seine fishery continues to increase with record catches in 2013 when the bigeye catch by this gear was clearly the highest ever in addition the longline fishery has a similar impact on the reproductive capacity of the stock as the purse seine fishery does overall fishing mortality on the stock needs to be reduced by 36 in order to end overfishing cmm201301 is overly complex and has too many exemptions and optional clauses which render it ineffective and difficult to enforce the wcpfc could consider adding other incremental measures to the cmm such as extending the fad closure period limiting the number of fad sets made each year or the number of fads that each vessel uses but this is what has been done since 2009 and it is clearly not effective issf urges the wcpfc to eliminate the exemptions in the cmm and to adopt management measures that are effective and easier to enforce such as a total fishery closure potentially with two closure periods or a reduction in fishing effort to meet the objective of ending the overfishing of the bigeye stock regarding skipjack tuna the stock is within the range of the candidate target reference points trp being considered by wcpfc and sc10 recommended that fishing mortality on the stock not be allowed to increase from its current level issf urges wcpfc to limit fishing effort fishing days in the purse seine fishery to a lower level that will maintain skipjack within the range of candidate trps and significantly reduce the catch of bigeye harvest control rules hcrs and reference points hcrs are a set of welldefined management actions to be taken in response to changes in stock status with respect to target and limit reference points issf endorses the application of the precautionary approach using clear target and limit reference points and hcrs as called for by the un fish stocks agreement and by some rfmo conventions in 2012 the wcpfc adopted limit reference points for skipjack bigeye yellowfin and south pacific albacore this was an important first step now the wcpfc needs to adopt harvest strategies including target reference points and harvest control rules for these same stocks issf looks forward to substantial progress on adoption of target reference points and hcrs for skipjack at wcpfc11 through the adoption of the proposed work plan for the development and implementation of target reference points and hcrs compliance and data gaps issf notes with concern the sc10 information about the lack of operational data for longline fleets in the high seas which affected the quality of the bigeye assessment reported at sc10 issf strongly urges all ccms to meet their obligations regarding data submissions and provide these operational data to the spc by the agreed deadlines and in the correct formats issf further urges the commission to consider appropriate responses to promote compliance by those ccms who have not yet provided operational catch and effort data while there were important strides in 2013 issf continues to be concerned with the lack of transparency in the wcpfc compliance monitoring scheme cms in contrast to the other four tuna rfmos observers are not allowed in the cms working group meetings and the responses of members to identified noncompliance are not released publically member reports on the implementation of wcpfc measures known as part ii reports are also confidential issf urges the commission to endorse tcc10s recommendation to amend cmm 201302 to reform its cms process so that accredited observers may attend the working group meetings and information on how ccms respond to and plan to address the areas of identified non compliance be made public issf also supports the development of a scheme of responses to noncompliance by the commission as soon as possible fish aggregating device fad management setting on fads accounts for nearly 40 of global tuna catches and 50 of global skipjack catches fads are one of the most important fishing methods for tropical tunas however there are huge gaps in all trfmos regarding the number of fads being used and on details of fishing operations on individual fads observer programs can be used to collect much but not all of the information needed to appropriately monitor fads as shown in wcpfcsc102014stip09 the wcpfc has adopted minimum standard data fields for observers that contain much of this information however there are some types of information that an observer is unlikely or unable to collect such as fad markings or details on the fad design this is information that vessel captains can easily collect but observers cannot do so routinely issf urges the wcpfc to take two actions this year 1 ensure that the regional observer program routinely collects the fad data in the wcpfc minimum standard fields and 2 expand the information required from vessels to include data on fad deployments designs equipment and identification marks issf strongly supports the sc10 and tcc10 recommendations for the creation of a working group on fad management issf urges the working group to adopt terms of reference that address i fad marking and identification and use of electronic signatures and ii fad monitoring tracking and control transparency in access joint venture and chartering arrangements issf recognizes the importance of access and chartering or joint venture arrangements to the development aspirations of developing states in particular small island developing states it is also equally important for accurate stock assessments and effective compliance and enforcement that there is clarity regarding catch attribution and the responsible party for mcs regarding vessels under chartering or access arrangements issf urges the wcpfc to adopt measures to promote transparency in access agreements and chartering or joint venture arrangements that are similar to existing iotc and iccat measures sharks sc10 recommended that wcpfc11 consider a number of longline shark mitigation methods wcpfcsc10ebwp01 issf notes that shark lines are used in many fisheries and these catch mostly silky and oceanic whitetip sharks since the retention of these species is prohibited issf urges wcpfc to prohibit the use of shark lines in order to improve compliance issf is encouraged that ffa usa and the eu are seeking the adoption of a comprehensive and robust shark conservation and management measures that includes the removal of the fintoweight ratio which was highlighted at tcc10 as being an area of noncompliance issf supports amending cmm 201007 to mandate that fins remain naturally attached for all sharks landed moreover the cmm should include the implementation of a range of proven shark catch mitigation measures improved data collection and reporting and the development of stockspecific reference points longlining and transshipment issf notes with concern the low levels of observer coverage data indicates that coverage rates may be less than the required 5 and the failure of some ccms to provide the required transshipment reports or advance notifications issf notes that electronic monitoring systems are being tested and developed which could potentially be used to address some of these problems issf urges wcpfc11 to impose and enforce as a precautionary measure measures to limit longliner capacity in the convention area issf also urges the commission to task its scientific body to make recommendations to wcpfc12 regarding the levels of longline capacity consistent with sustainable exploitation and prudent management of target tuna stocks issf further urges the commission to amend its transshipment measure cmm 06 in order to address these significant gaps in its effectiveness which affect traceability of the products and could result in iuu fishing closed vessel registries and management of fleet capacity experts agree that there is overcapacity in the global tuna fleets fishing fleet overcapacity increases pressure to weaken management measures and eventually leads to stock overexploitation issf continues to be concerned with the growth of fishing capacity in the wcpo region which has not been curtailed through the provisions adopted in cmm 201301 to underscore this importance of this issue in october issf clarified its resolution to limit the growth in fishing capacity of the global largescale tropical tuna purse seine fleet through this resolution issf participating companies must refrain from transactions in skipjack bigeye and yellowfin tuna caught by large scale1 purse seine vessels that are not actively fishing for tuna or under contract for construction as of december 31 2012 or a replacement for an existing vessel issf urges the wcpfc to establish limited entry through closed vessel registries and to develop a common currency to measure fishing capacity such as cubic meters of well volume issf also supports the kobe iii call for creating mechanisms to transfer capacity to developing countries these steps should be taken now since scaling back purse seine fleet capacity will become even more difficult as new vessels are introduced given the importance of a mechanism to transfer capacity to developing countries to any regional capacity management scheme issf hosted a workshop in march 2014 to start a for the purpose of this resolution largescale purse seine vessels are those at least 335 m3 fish hold volume dialogue on this issue issf hopes this workshop and dialog will contribute to progressing capacity management in the tuna rfmos the workshop report can be accessed here httpissfoundationorgresourcesdownloadsdid522,WCPFC11,transparency,fleet_capacity,11
text747,WCPFC11-2014-OP10,2,commission eleventh regular session faleata sports complex apia samoa 5 december 2014 wwf wcpfc11 position statement 2014 wcpfc112014op10 november 2014 paper by wwf th regular session of the western central pacific fisheries commission wcpfc apia samoa december 15 2014,WCPFC11,strategy,session,11
