"","document","number","content","meeting","topic"
"text4057","WCPFC16",524,"the commission noted the recommendations from sc15 set out in wcpfc16 2019 27 and adopted the sc15 summary report wcpfc16 2019 sc15 9 2 nc15","WCPFC16","session"
"text4058","WCPFC16",525,"the chair referred the commission to wcpfc16 2019 nc15 nc14 summary report the nc chair stated that nc16 would be held in japan in early september 2020 in addition japan will also host a joint nc and iattc working group meeting in late july 2020 with a cds working group meeting held in conjunction","WCPFC16","session"
"text4059","WCPFC16",526,"the joint iattc wcpfc nc cds wg chair mr shingo ota discussed their second meeting held on 2 september 2019 and reviewed interest in development of an electronic cds for pacific bluefin tuna which most participants favoured it discussed various options for establishment of an electronic cds independently building on the existing iccat cds or using the system developed by iccat he suggested that the commission may want to consider development of an electronic cds for all tuna species including tropical species noting that although the iattc wcpfc nc cds wg is scheduled to finish its work by the end of 2020 it could be advantageous to delay a decision pursue further investigation and report back to the commission wcpfc16 summary report issued 2 april 2020 88","WCPFC16","session"
"text4060","WCPFC16",527,"the compliance manager stated that the secretariat s understanding of the cds development situation was that the wcpfc cds intersessional working group chair had withdrawn over 1 year previously and that the iwg was waiting for development of draft cds standards to be developed by the ffa","WCPFC16","session"
"text4061","WCPFC16",528,"the united states discussed it proposal in wcpfc16 2019 dp11 rules of procedure relating to the northern committee regarding a modification to the rules of procedure for the nc which it stated reflected a problem faced by the nc in reaching quorum which had occurred twice the proposed change to the rule of procedures would enable nc to open and permit debate with a simple majority rather than 75 of members present","WCPFC16","equity"
"text4062","WCPFC16",529,"canada stated that as a member of nc it found the situation challenging when a quorum was not achieved and encouraged the participation of all members it supported the proposal by the usa chinese taipei also supported the proposal","WCPFC16","equity"
"text4063","WCPFC16",530,"rmi inquired regarding the effect of the proposed rule change and what would happen if a fragmented decision came back to the commission it inquired if this had been done before in other rfmos the united states stated that when quorum was not achieved at what was a regularly scheduled meeting the nc chair would allow discussion to take place with a subsequent meeting conducted on the margins of the commission s annual meeting as occurred at wcpfc16 it noted that the commission only received legitimate decisions from a quorum of the nc rmi stated that the precedent that would be set was significant and needed to be considered holistically and inquired if rules for tcc should be changed to make it possible to hold meetings without a quorum","WCPFC16","equity"
"text4064","WCPFC16",531,"the eu stated that it understood that the proposal would simplify the nc s work but stated that this flexibility should not be used as a precedent and expressed the view that the rules governing the nc within the commission were not fully satisfying whereby decisions or recommendations could only be approved or rejected it stated that it would like to be able to participate as a member of the nc and suggested that the way the nc functions should be modified while suggesting these issues should be kept in mind it stated that while the eu would not oppose the proposal it sought greater transparency","WCPFC16","equity"
"text4065","WCPFC16",532,"fsm on behalf of ffa members stated that the same threshold for quorum should apply to all meetings of the commission and its subsidiary bodies to allow for a lower threshold for a quorum for nc was not agreeable to ffa members ffa members suggested that the nc meeting could be held in conjunction with other wcpfc meetings which would enable sids to participate more effectively","WCPFC16","equity"
"text4066","WCPFC16",534,"the commission noted the subsequent discussions that occurred at wcpfc16 related to north pacific swordfish and pacific bluefin and adopted the report of nc15 wcpfc16 2019 nc15","WCPFC16","strategy"
"text4067","WCPFC16",535,"the commission noted that japan will host the next meeting of the northern committee iattc working group for pacific bluefin tuna in late july 2020 and that this includes a one day meeting of its pacific bluefin cds working group wcpfc16 summary report issued 2 april 2020 89 9 3 tcc15","WCPFC16","session"
"text4068","WCPFC16",536,"the chair stated that the recommendations of tcc were highlighted in wcpfc16 2019 28 and noted the tcc15 summary report wcpfc16 2019 tcc15","WCPFC16","session"
"text4069","WCPFC16",537,"the united states confirmed it would provide a chair for the vms iwg proposed by tcc15 to address vms data gaps and improve reliability of vms reporting to the commission","WCPFC16","transparency"
"text4070","WCPFC16",538,"fsm on behalf of ffa members supported the tcc15 recommendation that wcpfc16 establish an iwg to develop specific recommendations to address vms data gaps and improve the number of vessels reporting to the commission vms it stated that vms non reporting to the commission vms has been a long standing issue and is discussed at length at each tcc where the persistence of vessels on the wcpfc rfv not reporting to the commission vms is noted it appears that the problem is worsening they reminded ccms of article 24 8 of the convention which obliges each ccm to require its fishing vessels to use mtus that meet agreed wcpfc vms standards specifications and procedures ssps while operating in areas covered by the commission vms within the convention area ffa members supported the usa s nomination to chair the iwg and australia as possible co chair","WCPFC16","transparency"
"text4071","WCPFC16",539,"cook islands on behalf of ffa members acknowledged the efforts by the tcc vice chair to revise the workplan during the margins of tcc15 and following tcc15 they stated they were pleased to note that the draft workplan covers key work areas of priority to ffa members including future work under the cms and that it takes into consideration the tcc workload beyond 1 year but highlighted that implementation of the workplan would require adequate resourcing","WCPFC16","equity"
"text4072","WCPFC16",540,"kiribati on behalf of ffa members referenced the report from the tcc wg on flow of observer reports and observer conduct wcpfc15 summary report para 364 ffa members supported the tcc15 outcome that agreed for continuation of the tcc wg s efforts stated their support for any work to strengthen the flow of observer reports for the purpose of supporting investigation by ccms including considerations of tracking observer report requests through the commission s case file management system as a way to improve transparency on the nature and timing of requests for observer reports from observer providers by flag state ccms however they highlighted that ffa members would not support any amendments to the rop minimum standards for observer reports that dilute the authority of observer providers impinge upon the ownership of data and information by coastal states with respect to fishing within eezs or discriminate or allow for unfair treatment of observers","WCPFC16","transparency"
"text4073","WCPFC16",541,"wwf ielp tof iplnf sfp and pew submitted a joint intervention with respect to the tcc summary report and also with regard to all subsidiary bodies of the commission they stated that at present a lack of sufficient data that is typically generated through adequate observer coverage represents the single largest obstacle to establishing appropriate management measures in fact uncertainty and a lack of data is continually cited in the wcpfc process as a reason for inaction or delay it is unquestionable that information collected as part of a successful observer programme is critically important to the proper conservation and management of our tuna fisheries data collected by observers plays a central role in informing fisheries scientists and managers on everything ranging from stock assessments to non target species impacts as demonstrated by new zealand s seabird proposal discussed earlier and the marine mammal proposal put forward by korea furthermore observers play an indispensable role in monitoring and documenting compliance with very important cmms in the wcpo therefore the wcpfc must consider securing full observer coverage in the longline fishery whether through human observers or electronic monitoring a top priority all ccms agreed to the wcpf convention text and other commission obligations to ensure the best scientific information or evidence available is used in wcpfc decisions this obligation not only requires ccms to actively seek out and use the best available scientific evidence but also to ensure that measures generate the best available scientific evidence wcpfc established cmm 2007 01 which specifies that fisheries observer coverage is to be 5 of effort in each non purse seine fishery at that time low observer coverage in the longline fishery was identified as a significant conservation risk with the arbitrary benchmark established at 5 considered a starting point for a stepwise progression toward full observer coverage by failing to adopt a higher scientifically and statistically valid level of observer coverage on longline vessels the wcpfc has failed to meet the charge of the wcpf convention to generate wcpfc16 summary report issued 2 april 2020 90 and use the best available scientific information therefore the wcpfc must take action to improve observer coverage across all longline vessels operating in the wcpfc convention area","WCPFC16","bycatch"
"text4074","WCPFC16",542,"the commission noted the recommendations from tcc15 set out in wcpfc16 2019 28","WCPFC16","bycatch"
"text4075","WCPFC16",543,"the commission agreed to establish the vms small working group swg to address the vms data gap and improve the number of vessels reporting to the commission vms for consideration by tcc16 tcc summary report paragraph 211 the commission agreed that the swg would be co chaired by the united states and australia","WCPFC16","session"
"text4076","WCPFC16",544,"the commission noted that the update of the tcc workplan would be progressed electronically during 2020","WCPFC16","session"
"text4077","WCPFC16",545,"the commission adopted the summary report of tcc15 wcpfc16 2019 tcc15 9 4 intercessional working groups 9 4 1 working group to review the transhipment measure cmm 2009 06","WCPFC16","session"
"text4078","WCPFC16",546,"the commission noted the report on the progress by the iwg to review the transhipment measure cmm 2009 06 ts iwg from the co chairs","WCPFC16","session"
"text4079","WCPFC16",547,"the commission agreed to the ts iwg to continue its work in 2020 following significant progress on its draft scope of work for the analysis of transhipment information the ts iwg will reconvene electronically in 2020 while the iwg was able to reach agreement on a considerable number of elements in the draft there remain a few outstanding issues for which the iwg will need to consider and agree upon intersessionally moving forward the ts iwg co chairs will welcome comments only on the outstanding proposed language in the draft scope of work by 13 january 2020 the co chairs will circulate the updated scope of work following the conclusion of wcpfc16 and provide further instructions to the iwg by email 9 4 2 erandem wg","WCPFC16","session"
"text4080","WCPFC16",548,"the erandem wg chair australia stated that as noted under agenda item 4 the erandem wg responded to a tasking from tcc to revise the electronic monitoring concept paper and present it to wcpfc16 the erandem wg met at wcpfc16 as a swg and had a very useful discussion on objectives and standards there was interest from the working group in using the rop objectives for em work in the future but an endorsement by the commission of that objective will be needed at wcpfc16","WCPFC16","session"
"text4081","WCPFC16",549,"kiribati sought to clarify the focus of the objective noting its understanding that the focus for em is on data gaps specifically with respect to longline fisheries and transhipment on the high sea","WCPFC16","bycatch"
"text4082","WCPFC16",550,"the erandem wg chair recalled that the commission had considered the priority areas a number of times beginning through a consultancy in 2014 it highlighted the data gaps referenced by kiribati more recently project 93 involving the ffa pnao spc and wcpfc secretariats confirmed the need to address the longline and transhipment data gaps that focus is captured in both the concept paper and the implementation schedule wcpfc16 summary report issued 2 april 2020 91","WCPFC16","session"
"text4083","WCPFC16",551,"new caledonia inquired regarding incentives for the use of electronic monitoring and whether there is information available regarding onboard technical equipment and automatic treatment of video the erandem wg chair noted that incentives for the use of electronic monitoring will depend on national priorities in relation to data collection and needs the chair stated that there were a number of ways to incentivise the uptake of electronic monitoring systems by industry the chair stated that australia has implemented electronic monitoring across a number of fleets and fishing methods to support data collection and verification and has seen some strong outcomes including much improved bycatch reporting but noted that electronic monitoring systems were not the only solution to improving data collection","WCPFC16","bycatch"
"text4084","WCPFC16",552,"kiribati reiterated that it was uncomfortable with the proposed language for the objective stating that the focus should be on the identified data gaps","WCPFC16","equity"
"text4085","WCPFC16",553,"the erandem wg chair noted the following principles that were raised during discussions in the margins of wcpfc16 in relation to progressing the implementation of electronic monitoring in the wcpo ▪ ensuring that the objectives remain broad to accommodate the priorities of ccms as they develop their use of em technology ▪ as noted at tcc15 taking into consideration the outcomes from project 93 that describe areas where independent verification of data is low ▪ that em technology in the wcpo should be used to target data gaps and uncertainties and as noted in project 93 outcomes and recommended previously by tcc11 and endorsed by wcpfc12 the priority areas for implementation are longline and high seas transhipment activity ▪ that em systems should be used to complement and supplement other data verification methods such as observers and ▪ recognising the constraints and limitations of this technology as identified during trials","WCPFC16","session"
"text4086","WCPFC16",554,"the commission noted the intersessional progress by the electronic reporting and electronic monitoring working group on the development of draft minimum standards for electronic monitoring programmes","WCPFC16","session"
"text4087","WCPFC16",555,"the commission endorsed the following objectives for electronic monitoring the objectives of the commission electronic monitoring programme emp shall be to collect verified catch and effort data other scientific data and additional information related to the fishery from the convention area and to monitor the implementation of the conservation and management measures adopted by the commission","WCPFC16","bycatch"
"text4088","WCPFC16",556,"the commission agreed that the conclusions from project 93 in relation to data gaps be considered in the implementation of regional electronic monitoring standards agenda item 10 compliance monitoring scheme 10 1 consideration and adoption of the final compliance monitoring report cmr","WCPFC16","session"
"text4089","WCPFC16",557,"the commission considered the provisional cmr recommended by tcc15 through a small working group led by laurence edwards tcc chair which compiled the final cmr for adoption the tcc chair provided a report on the swg outcomes wcpfc16 summary report issued 2 april 2020 92","WCPFC16","session"
"text4090","WCPFC16",558,"vanuatu responded to paragraph 19 of the final cmr by providing additional clarification on north pacific albacore catch and effort by vanuatu vessels in 2018 and stated that this information had been incorporated into the nc15 report submitted to wcpfc16 for adoption essentially effort directed at north pacific albacore has declined by 30 and north pacific albacore catch by 37 since the 2002 2004 reference period this change was not clear from the data originally submitted to the nc vanuatu concurred with the view of korea that the current text of cmm 2005 03 needs to be clarified","WCPFC16","strategy"
"text4091","WCPFC16",559,"the commission adopted the final compliance monitoring report for 2019 wcpfc16 2019 finalcmr attachment p 10 2 review the workplan of tasks to enhance the compliance monitoring scheme","WCPFC16","session"
"text4092","WCPFC16",560,"the commission noted the recommendations from tcc15 and the progress on the workplan of tasks to enhance the compliance monitoring scheme as set out in wcpfc16 2019 30 10 3 expiry of cmm 2018 07 at the end of 2019","WCPFC16","session"
"text4093","WCPFC16",561,"the tcc vice chair presented the outcomes of the swg to consider the expiry of cmm 2018 07","WCPFC16","session"
"text4094","WCPFC16",562,"the commission adopted conservation and management measure 2019 06 attachment q which amends the compliance monitoring scheme cmm cmm 2018 07 and extends the scheme for a further two years","WCPFC16","session"
"text4095","WCPFC16",563,"the commission agreed to establish a compliance monitoring scheme cms intersessional working group under the leadership of the vice chair of tcc dr robert day canada which would work virtually to progress work intersessionally to undertake the cms future work including on audit points and the risk based framework","WCPFC16","session"
"text4096","WCPFC16",564,"fsm on behalf of ffa members stated they were the original proponents of the cms cmm because ffa members take their responsibilities under the convention seriously and recognise the importance of demonstrating accountability and transparency they stated that implementation and enforcement of obligations in accordance with our national laws are essential in ensuring the long term sustainability of our tuna resources ffa members welcomed the commission s agreement to extend the cms for two years and recognised the value of having a process in place that provides an appropriate level of scrutiny on ccms ffa members indicated their understanding that some ccms sought a different outcome on certain aspects of the cms and appreciated the flexibility that was shown noting that ffa members had also worked in good faith and demonstrated flexibility in achieving the outcome ffa members highlighted their intention to ensure the focus of the cms remains on systemic issues to enable the commission to continue to enhance its ability to meet the objectives of the convention they observed that the aggregated tables would ensure continuing access to relevant information and a structured process for following up on identified systemic issues and suggested the revised measure would demonstrate that ccms continue to effectively discharge their responsibilities ffa members sought to clarify that the tables to be included in the provisional cmr as per paragraph 37 of the cmm are a summary of the para 26 ii report for previous years by obligation not identified by ccm ffa members agreed that it is important to have information on the public record to demonstrate the good progress that the commission as a whole is making on compliance with its agreed obligations they stressed their interest in maintaining a positive wcpfc16 summary report issued 2 april 2020 93 compliance culture in the wcpfc and hoped that the new cmm would enable the commission to move forward with a more positive spirit ffa members stated they would continue their efforts to improve the process through efforts to ensure the cms is robust effective efficient and fair and looked forward to working with other ccms in this regard","WCPFC16","equity"
"text4097","WCPFC16",565,"the tcc chair rmi acknowledged and thanked dr robert day cms wg chair and vice chair of tcc the compliance manager secretariat staff and ccms for producing a cms cmm for the next two years he noted that ccms have endured many deliberations challenges and debates over the cms proposal but welcomed the progress in renewing the cms with a new process that will be focused on assessment at ccm level which correlates to the convention s relevant articles and moves away from past practices that have hampered tcc meetings in dealing with alleged infringements case by case day by day night by night he noted this would help provide assurance to the secretariat and ccms that compliance assessment would be effective efficient and fair","WCPFC16","session"
"text4098","WCPFC16",566,"the eu expressed it congratulations to the ccms that worked on and supported the measure the eu stated that the impossibility to assess compliance at a vessel level risks to water down the compliance system in wcpfc however the eu could join the consensus to support the measure based on the reassurances made by the proponents indicating that assessments could still be taken at tcc when flag states do not initiate any action following alleged infringements the eu also stated that it looked forward to testing the new process over the forthcoming 2 years with a view to further improvements and hoped that a frank and open deliberation could be held at tcc16 in support of a good compliance outcome","WCPFC16","equity"
"text4099","WCPFC16",567,"new zealand expressed appreciation to the chair of the swg all ccms who cooperated and cook islands for its efforts new zealand stated that its objective was a robust but streamlined system that focusses on compliance with the obligations which pose the greatest risk to the objectives of the commission and noted its view that a risk based assessment framework would be critical to the success of the other components of the cms program it looked forward to working with other members at tcc to enhance additional parts of the cms","WCPFC16","session"
"text4100","WCPFC16",568,"the united states expressed its satisfaction that wcpfc16 could agree on a revised cms measure it stated its hope that in the future the cms measure could be adopted for longer periods and that the approach would be robust and would continue to allow wcpfc to have one of the best cmss it noted the need to focus on the ambitious tcc workplan with almost no progress made in 2019 it thanked new zealand for its work on risk based assessment which it hoped could soon be circulated to other members for review and looked forward to beginning work on audit points","WCPFC16","equity"
"text4101","WCPFC16",569,"ielp the ocean foundation pew ipnlf and wwf commented regarding the cms process generally and more specifically the draft guidelines for participation of observers in closed meetings that consider the compliance monitoring report stating that i they were pleased ccms reached agreement on a new cms because compliance is critical to the success of commission members in achieving their conservation and management objectives and were pleased that some of the information from the tables to be included in the cmr will be made public which would assist civil society to help ccms achieve compliance through technical financial and other assistance they stated that more generally transparency increases the legitimacy of decision making and that stakeholders who are invested in and rely on the wcpfc fisheries will be able to better understand how the fishery is being conducted and how decisions are being made ii they remained disappointed that ccms were unable to reach agreement to allow observers to participate in discussions of the draft cmr stating they had consistently strived to provide positive contributions to the work of the commission and individual ccms and that excluding observers wcpfc16 summary report issued 2 april 2020 94 from cmr discussions was at odds with article 21 of the convention as well as the conclusions of the independent review panel which found that excluding observers from cmr discussions was a major exception to the implementation of article 21 on transparency they noted that observers possess information and technical knowledge relevant to the compliance process and their participation could help improve cmm implementation and lead to more targeted capacity assistance to address compliance related gaps iii with respect to the draft guidelines on observer participation submitted by the united states wcpfc16 2019 dp14 the observers noted their willingness to comply with guidelines and sign a confidentiality agreement in order to participate in commission discussions regarding the cmr but stated the rules must be clear fair and equitable which dp14 did not achieve they called attention to wcpfc16 2019 op13 which they stated more effectively balances the concerns for confidentiality of cms discussions with clear fair and equitable guidelines for observer participation they looked forward to collaborating with ccms to progress this work","WCPFC16","session"
"text4102","WCPFC16",570,"on behalf of the commission the chair thanked dr robert day for his work on the cms cmm list of obligations to be reviewed by the compliance monitoring scheme in 2020 567 the vice chair presented the outcomes of the swg to develop the list of obligations to be reviewed by the compliance monitoring scheme in 2020","WCPFC16","session"
"text4103","WCPFC16",571,"the commission agreed to the list of obligations to be reviewed by the compliance monitoring scheme in 2020 covering 2019 activities attachment r","WCPFC16","session"
"text4104","WCPFC16",572,"the commission noted that this is the third time the list of obligations is being rolled over and tasked the tcc16 to recommend a proposed list of obligations to be assessed in 2021 covering 2020 activities for consideration by wcpfc17 in 2020 agenda item 11 adoption of the 2020 iuu vessel list","WCPFC16","session"
"text4105","WCPFC16",573,"the chair introduced wcpfc16 2019 31 wcpfc iuu vessel list for 2020 which presented for the consideration of wcpfc16 the relevant information for a decision on the 2020 wcpfc iuu vessel list","WCPFC16","session"
"text4106","WCPFC16",574,"the commission agreed to maintain the three vessels currently on the wcpfc iuu vessel list and adopted the 2020 wcpfc iuu vessel list attachment s","WCPFC16","transparency"
"text4107","WCPFC16",575,"the commission approved the tcc15 recommendations that the executive director request information about the vessels on the wcpfc iuu vessel list and to promptly advise ccms","WCPFC16","transparency"
"text4108","WCPFC16",576,"the chair advised the meeting that the eu submitted proposal wcpfc16 2019 dp08 proposal for amending cmm 2010 06 to provide for cross listing of iuu vessels among rfmos and measures concerning the involvement of nationals in iuu fishing in addition the chair also reminded actions to be taken to capture the name and nationality of the master and beneficial owners of iuu vessels cross listing and the name and nationality of the master and beneficial owners were also addressed through recommendations from tcc15 wcpfc16 summary report issued 2 april 2020 95","WCPFC16","session"
"text4109","WCPFC16",577,"australia stated its resolute commitment to combatting iuu both in the pacific and across the globe and that its strong partnership with its regional neighbours is demonstrated by ongoing engagement and cooperation through the ffa to secure fisheries resources within the pacific region it stated that australia actively collaborates with ffa members and seeks to enhance participation in cooperative activities in the pacific by sharing resources exchanging information and maximising the effectiveness of monitoring control and surveillance tools australia also has a proven record of taking action to secure regional fisheries resources including through their contribution to regional surveillance such as operation nasse as reported on to tcc15 it has long recognised the value of cooperating regionally and extended its sincere thanks to france new zealand and the united states for ongoing cooperative activity in the pacific australia stated that it is continuing its long term investment in the asia pacific region and has committed to a new 30 year programme providing boats and aerial surveillance to help deter illegal fishing it is also conducting regional maritime surveillance and enforcement capacity building activities which contribute to the ability of ccms to ensure the safety and security of their maritime zones australia observed that iuu fishing continues to threaten the sustainability of the ocean and the economies that depend on it it compromises opportunities for legitimate fishers and undermines the rules based order designed to ensure cooperation in the management of fish stocks and the disruption of iuu business models australia stated it was pleased that the level of illegal fishing in the pacific remained relatively low which signals that ccms collective interventions are working but that careful attention and scrutiny on issue remained the best insurance australia urged all ccms to continue their efforts as coastal market and port states and states with nationals engaging in iuu fishing to do everything within their power to combat iuu fishing","WCPFC16","other"
"text4110","WCPFC16",578,"japan addressed the proposal that the secretariat indicate the master s name and nationality on the iuu vessel stating its view that procedurally there was a need to amend cmm 2010 06","WCPFC16","equity"
"text4111","WCPFC16",579,"rmi addressed the three vessels that had been on the iuu list for many years during which time the commission had been unable to take any effective action and suggested that until the commission could reduce the existing iuu vessel list it should not make the list longer by adding vessels from other rfmos","WCPFC16","transparency"
"text4112","WCPFC16",580,"tonga stated on behalf of ffa members that as recommended by tcc15 the master s name and nationality should be included in the wcpfc iuu list so that rogue persons involved in iuu fishing could be tracked they recalled that wcpfc13 agreed that where the vessel is not listed on the record of fishing vessels and the master s name and nationality are not known the flag state is responsible for providing the name and nationality of the master so that these details can be included into the wcpfc iuu vessel list and request that the executive director ensure that master s name and nationality are captured for any future listings on the wcpfc iuu vessel list","WCPFC16","transparency"
"text4113","WCPFC16",581,"japan stated that it appreciated efforts to revise the iuu cmm regarding the comment from rmi it observed that the frustrations are understandable and that many rfmos have a long list of iuu vessels and that most of the vessels had probably changed their name flag etc japan stated that one way to address this would be through the use of the imo number because that cannot be changed most vessels are now required to obtain imo numbers and hopefully this could help solve the issue japan stated it was not sure if the rfmos should keep long lists of vessel names on iuu lists but suggested that for now it was perhaps the best approach while considering a cut off such as deleting vessels after 10 years as otherwise the list would expand and become less useful","WCPFC16","equity"
"text4114","WCPFC16",582,"the eu stated that all ccms were engaged in the fight against iuu and stressed the need to proceed step by step to reinforce the means contributing to reduce iuu fishing it stated that fundamentally the commission should recognize vessels from other rfmos when they have already been identified elsewhere as iuu the eu stressed the need for a comprehensive approach as iuu fishing would continue and could be reduced only through common effort it noted that the proposal provided more instruments to fight iuu fishing wcpfc16 summary report issued 2 april 2020 96","WCPFC16","equity"
"text4115","WCPFC16",583,"fiji on behalf of ffa members stated that since tcc14 ffa members had broadened their approach to combating iuu fishing from a heavily vessel focused approach to include greater scrutiny and profiling of individuals and companies involved in iuu fishing that approach was fully endorsed by the fisheries ministers of ffa members and involves the inclusion of information on the beneficial ownership of a vessel in the wcpfc iuu listing process in particular for any new listings ffa members proposed that any person with at least 25 equity interest in a vessel whether directly or indirectly should be considered a beneficial owner the flag state of the vessel is primarily responsible for providing information on beneficial ownership ffa members sought the views of other ccms","WCPFC16","equity"
"text4116","WCPFC16",584,"rmi suggested that the proposal be re examined by tcc in order to develop a better option in the interest of achieving an iuu free pacific noting that cross listing had to be examined in relation to the practicality of implementing cmm 2010 06 and its obligations","WCPFC16","equity"
"text4117","WCPFC16",585,"new caledonia stated that all ccms were concerned about iuu especially pacific coastal states and termed iuu fishing a poison for wcpfc fishing one that directly affects resource sustainability and profitability it supported any action that can help reduce iuu fishing","WCPFC16","other"
"text4118","WCPFC16",586,"canada supported cross listing of iuu vessels and stated it listened with interest to the ffa statement regarding beneficial owners the wcpfc added 0 vessels over the prior 10 years while other rfmos have added iuu vessels which are apparently operating in those areas canada inquired if those iuu vessels were possibly fishing in the wcpo it encouraged using the available tools that were not very costly and could help identify vessels as they come into wcpo waters to fish and visit ports canada stressed it should be a straightforward issue which could be but should not have to be deferred","WCPFC16","transparency"
"text4119","WCPFC16",587,"the eu stated that not supporting cross listing was a good way to obstruct the fight on iuu fishing noting that the issue had been fully discussed and supported at tcc and other rfmos the eu rejected the suggestion that ccms could not implement and take into account a larger iuu vessel list stating that a longer list would simply enable a ccm to refuse port entry or further inspect vessels on the list which would not entail a burden more than the obligations that port states have to fight iuu fishing the eu acknowledged there would be additional work for the secretariat but stated it had worked with the secretariat in formulating revisions to dp08 and that are presented in dp08 rev1 that aim to facilitate the cross listing processes it stated that the arguments being raised were not good ones to justify not to support the proposal","WCPFC16","equity"
"text4120","WCPFC16",588,"french polynesia shared the concerns raised about iuu fishing and supported adoption of the proposals at wcpfc16","WCPFC16","equity"
"text4121","WCPFC16",589,"png supported the ffa comments in terms of inclusion of new processes to address iuu through listing of beneficial owners and persons of interest while supporting the views of rmi that alternatives should be found to simply continuing to list iuu vessels","WCPFC16","equity"
"text4122","WCPFC16",590,"china stated it is a member of both iattc and iotc and both adopted iuu cross listing in 2018 which created legal issues for china and stated that it could only agree to cross listing on a case by case basis for organisations of which china is a member","WCPFC16","transparency"
"text4123","WCPFC16",591,"australia on behalf of ffa members stated that they had taken several opportunities to discuss the proposal by the eu regarding cross listing but that the eu has not yet responded to the queries that they had raised earlier in the session they further stated that they supported the principle of iuu vessel cross listing but needed further time to consider the issue of administrative burden for the secretariat and national administrations as well as problems identified in other rfmos australia stated that the ffa also needed time to consider the underlying process to ensure wcpfc s listing procedures remained robust it expressed wcpfc16 summary report issued 2 april 2020 97 concern that the information that led to the original listing by another rfmo would not be readily available to tcc without the agreement of those rfmos australia also stated that the cmm 2013 06 assessment of the eu s proposal did not meet ffa members expectations and needed further work it suggested that the critical questions be considered by tcc along with a revised and improved 2013 06 assessment to accompany any new proposal it stated it would keep working with the eu to this end","WCPFC16","equity"
"text4124","WCPFC16",592,"japan stated it recognized the position of ffa members but encouraged them to consider that other rfmos might consider that there was a lack of reciprocity and cooperation on the part of wcpfc given that other rfmos will incorporate the iuu vessel list from wcpfc but wcpfc won t incorporate their lists japan suggested that if the commission receives a list from other rfmos it should be posted on the commission s webpage and ccms could think about how to use this","WCPFC16","equity"
"text4125","WCPFC16",593,"korea thanked the eu for its efforts to combat iuu activities and stated that it supported the sentiments expressed in the proposal but had some concerns about the process especially the delisting process","WCPFC16","equity"
"text4126","WCPFC16",594,"the chair observed that despite extensive discussion the commission could not reach agreement on iuu vessel cross listing","WCPFC16","equity"
"text4127","WCPFC16",595,"australia in closing reiterated its position that the issue should be discussed at tcc it suggested working through implementation of the proposal with the eu including to assist in the development of an accurate and comprehensive cmm 2013 06 assessment with a view to revisiting the cross listing issue at wcpfc17 rmi supported the comment by australia but sought a recommendation that tcc focus first on ways to address wcpfc s iuu vessel list before taking on the iuu vessel lists of other rfmos","WCPFC16","equity"
"text4128","WCPFC16",596,"the eu expressed its disappointment noting that the cross listing procedure recommendation was made by tcc and that the procedure is already used by other rfmos and that some ccms who supported it in those other rfmos did not support it at wcpfc the eu proposed that the commission task the secretariat to stay in contact with other rfmos and include on its website the list of other rfmos iuu vessel lists","WCPFC16","equity"
"text4129","WCPFC16",597,"the commission approved the tcc15 recommendations that the executive director ensure that details on name and nationality of master and beneficial owners are captured for any future listings on the wcpfc iuu vessel list","WCPFC16","session"
"text4130","WCPFC16",598,"the commission adopted conservation and management measure 2019 07 attachment t which amends cmm 2010 06 to include master of the vessel at the time of the iuu fishing activities and the nationality ies of that master as a new subparagraph in paragraph 19 agenda item 12 report of the thirteenth annual session of the finance and administration committee 12 1 report of the thirteenth finance and administration committee","WCPFC16","session"
"text4131","WCPFC16",599,"fac co chair camille movick inatio fsm reported the key highlights and recommendations from fac 13 and referenced the comprehensive summary report wcpfc16 2019 fac13 11 she thanked all ccms who participated in fac13 which met four times the recommendations from fac 13 included that the commission adopt the audited financial statements for 2018 and adopt proposed amendments to the regulations pertaining to the special requirements fund wcpfc16 summary report issued 2 april 2020 98","WCPFC16","session"
"text4132","WCPFC16",601,"japan noted that it had extended the deadline for the japan trust fund to the end of january 2020 palau thanked japan for its flexibility","WCPFC16","equity"
"text4133","WCPFC16",602,"australia stated it would accept the fac s recommendations and acknowledged the work of the secretariat and the fac chair","WCPFC16","session"
"text4134","WCPFC16",603,"kiribati inquired whether in light of its difficulty in meeting its annual contribution with annual increases the offset of the annual assessed contributions could be increased the united states stated its view that given the modest increase in contributions this was possible although it preferred that this be done in the fac and recommended to the commission","WCPFC16","equity"
"text4135","WCPFC16",605,"regarding the tri annual salary review canada noted that the staff rules require it be conducted every 3 years canada stated its conclusions were ignored by the fac the study cost $20 000 which would have paid for 33 1 year of the increase canada reminded ccms that the wcpfc executive director receives a cost of living allowance adjustment but staff do not 12 2 budget approval for 2020 and indicative budgets for 2021 and 2022","WCPFC16","session"
"text4136","WCPFC16",606,"the commission adopted the report of the thirteenth session of the fac wcpfc16 2019 fac13 including the 2020 budget of $ 8 118 261 and indicative budgets for 2021 and 2022 of $8 074 268 and $ 8 087 288 respectively attachments u","WCPFC16","session"
