document,number,content
WCPFC9-2012-OP06,4,purse seine fisheries eg for two or three months at a time of the year when the catch rates of bigeye are high without exemptions would be much easier to implement monitor and enforce ISSF supports conservation measures as recommended by the WCPFCs science provider and committee whether FAD closures or limits or total closures provided that the selected measures are both fully enforceable and applicable to all participants Other analyses presented at SC8 suggest that additional management measures such as limiting the number of FAD sets made each year could be used to address the problem of bigeye overfishing ISSF would support a limit on the number of FAD sets as long as it can be properly monitored and enforced throughout the Convention Area This measure and similar ones such as individual vessel bigeye limits has obvious allocation implications and deserves thoughtful negotiation among the parties to ensure consistent implementation In addition monitoring the accumulation of FAD sets per vessel in real time could subject observers to undue pressure from fishers The analyses reviewed by SC7 and SC8 indicate that the exemptions in CMM 200801 account for about onehalf of the overfishing of bigeye tuna ISSF urges WCPFC9 to eliminate these exemptions and to improve bigeye data through more comprehensive reporting of catches by Indonesian and Philippine fleets including catches from all waters and made by all vessels under their jurisdictions Sharks SC8 concluded that the stock of oceanic whitetip shark is overfished and that substantial overfishing is taking place recent fishing mortality is 65 times higher than FMSY The analyses for silky sharks were inconclusive but SC8 recommended that fishing mortality not be allowed to increase Since the major source of mortality for both of these stocks is from nontarget fisheries SC8 concluded that bycatch mitigation measures are the best tool for addressing the conservation of these two vulnerable species To augment WCPFC8s decision regarding the prohibition on oceanic whitetips ISSF urges CCMs to consider more robust bycatch mitigation measures improved data collection and reporting and the development of stockspecific reference points ISSF urges the Commission to take further steps to enforce the existing conservation and management measure addressing shark finning and move to the total prohibition of the atsea removal of shark fins and mandate that fins remain naturally attached for all sharks landed ISSF is also asking all RFMOs including the WCPFC to adopt a prohibition on deliberate purse seine setting around whale sharks As this prohibition is already a requirement for those vessels fishing in PNA waters expanding the measure to other waters in the Convention Area is a natural next step It was understood at WCPFC8 that a finalized measure would be approved at WCPFC9 and ISSF looks forward to its adoption Longlining ISSF notes with concern the continuing increase in the number of longline vessels operating in the WCPFC Convention Area the low levels of observer coverage continuing transshipments at sea and activity in the High Seas beyond coastal State control ISSF urges WCPFC9 to impose and enforce as a precautionary measure measures to limit longliner capacity in the Convention Area ISSF further urges the Commission to task its scientific body to make recommendations to WCPFC10 regarding the levels of longline capacity consistent with sustainable exploitation and prudent management of target tuna stocks For further information please visit httpwwwISSFOUNDATIONorg
WCPFC9-2012-OP09,1,COMMISSION NINTH REGULAR SESSION Manila Philippines 6 December 2012 AMERICAN FISHERMANS RESEARCH FOUNDATION STATEMENT ON SOUTH PACIFIC ALBACORE TROLL FISHERY AND US HISTORIC INVOLVEMENT WCPFC92012OP09 December 2012 hrs
WCPFC9-2012-OP09,2,AMERICAN FISHERMENS RESEARCH FOUNDATION STATEMENT ON SOUTH PACIFIC ALBACORE TROLL FISHERY AND US HISTORIC INVOLVEMENT
WCPFC9-2012-OP09,3,Western Fishboat Owners Association WFOA along with American Fishermens Research Foundation AFRF were instrumental in researching the feasibility of a small vessel troll albacore fishery in the South Pacific
WCPFC9-2012-OP09,4,Through two contracts with the Pacific Fisheries Development Foundation PFDF in 1985 and 1986 WFOA vessels explored the fishing grounds in the South Pacific with 3 vessels in 1985 and 4 vessels in
WCPFC9-2012-OP09,5,In 1985 the PFDF contributed 90000 and AFRF contributed 148000 and in 1986 PFDF 115000 and AFRF 172800 for vessel charter costs and fuel expenses These were 6080 ft WFOA member boats which transited from the US west coast over 4000 nm to the fishing grounds in the South Pacific on which they spent an average of 3 months fishing tagging and documenting their catch The general areas covered were from 35 S latitude to 42 S latitude and from 145 W longitude to 165 W longitude Very good sign of albacore was had in most regions on jigs with the average size from 1318 pounds Fish were also dart tagged along the way
WCPFC9-2012-OP09,6,After 1986 US vessels began fishing in the South Pacific selffunded and did very well The fishery lasted from MidDecember through early April and was generally centered about 800 nm south of American Samoa and Tahiti Weather was always a factor in that area known to sailors as the roaring forties From 1987 1998 anywhere from 12 55 US boats ranging in size from 50ft to 90 ft fished in the region Total catches were as high as 5500 tons with CPUEs also very good compared to the North Pacific
WCPFC9-2012-OP09,7,Vessels in those years were predominantly brinefreezing their albacore and selling to StarKist or COSI in American Samoa Some of the catch was also transshipped to Samoa by high seas carries contracted through Marine Chartering Co of San Francisco and on one occasion to Bangkok Very detailed records were kept by WFOA on the carrier transshipping
WCPFC9-2012-OP09,8,As freezing systems changed and quality was stressed the markets changed more toward the sashimi grade fish and these vessels generally shipped fish from Tahiti and New Zealand to Asian markets Many of the larger vessels took the fish directly back to Vancouver BC A few boats also unloaded in Ecuador and in 2001 all albacore landed went through Bumble Bee Seafoods in Fiji for loining and then shipped to Santa Fe Springs for canning
WCPFC9-2012-OP09,9,After 1998 fuel and the wear and tear of fishing in the South Pacific was a self regulating factor The number of participants have diminished from the high of 55 to less than 10 vessels although 2012 saw an effort by 13 vessels The price of fuel has been the main limiting factor
WCPFC9-2012-OP09,10,To this date there are no other fleets of any nation fishing albacore in that area except for 12 from Canada and rarely a few from New Zealand There is absolutely no longline effort south of 30 S in the area east of the dateline The albacore are traditional jig fish 1225 pounds 24 year old age class
WCPFC9-2012-OP09,11,AFRF continued to do dart tagging in the South Pacific until around 1998 In 2000 AFRF sent 2 vessels on a charter off the Chilean EEZ and found mainly bad weather although in the past vessels venturing over to the Easter Island area have found considerable sign of fish
WCPFC9-2012-OP09,12,Weather and costs are very regulating issues for the South Pacific fleet and its a very serious commitment to take part in it However it has been very good and could be again We believe the fish are available but with so little fishing effort occurring now it is difficult to remain on the fish
WCPFC9-2012-OP09,13,This fishery has zero effects on the albacore stocks in the South Pacific and is totally separate from the longline fishery in the areas of both amount of catch and age class it catches It would be a shame to divide up the fishery in some sort of catch share scheme that may be appropriate for the longline fleet but not for the albacore troll fleet
WCPFC9-2012-OP10,1,COMMISSION NINTH REGULAR SESSION Manila Philippines 6 December 2012 Earth Island Statement Dolphin Safe and Tuna Sustainability WCPFC92012OP10 December 2012 hrs
WCPFC9-2012-OP10,2,Nov-12
WCPFC9-2012-OP10,3,Dolphin Safe and Tuna Sustainability
WCPFC9-2012-OP10,4,Earth Island Institute is the organization that maintains and verifies the international Dolphin Safe and Dolphin Friendly logos for canned tuna worldwide We instigated the label in as the first seafood ecolabel More than 460 tuna companies around the world representing more than 95 of the world tuna market subscribe to the nonencirclement Dolphin Safe standard
WCPFC9-2012-OP10,5,Our purpose is to provide information regarding sustainable fishing methods and tuna markets and address confusing or misleading claims made about tuna fishing operations
WCPFC9-2012-OP10,6,Skipjack tuna the main target for canned tuna are a relatively shortlived fish with a high reproductive rates and sustainable populations No skipjack stocks are currently considered depleted or overfished
WCPFC9-2012-OP10,7,Yellowfin tuna stocks are generally healthy although the best scientific information suggests that they may be overfished in the Eastern Tropical Pacific and at maximum utilization in the Western and Central Pacific
WCPFC9-2012-OP10,8,Bigeye tuna stocks are depleted in the Pacific Ocean but not overexploited in the Indian and Atlantic Oceans Regional Fisheries Management Organizations RFMOs supported by the International Seafood Sustainability Foundation ISSF and nongovernmental organizations NGOs including Earth Island Institute support closures on purse seine fishing to prevent overfishing of bigeye and yellowfin tuna stocks
WCPFC9-2012-OP10,9,Fishing Vessel Capacity The ISSF advocates a reduction in the number of tuna vessels to again reduce worldwide pressure on tuna stocks and avoid overfishing Earth Island and other NGOs support this effort
WCPFC9-2012-OP10,10,Sea Turtles Contrary to various information being circulated catches of sea turtles in tuna purse seine nets is minimal and most sea turtles are taken alive and can be released from the nets Earth Island Institute first proposed to require live release of sea turtles from tuna nets in the mid1990s and most tuna RFMOs have now also adopted this restriction As a result very few sea turtles are harmed or die in tuna fishing operations using purse seine nets
WCPFC9-2012-OP10,11,Shark bycatch is still a problem with about 1 of purse seine bycatch being shark species 70 of sharks taken are still alive and can be released and Earth Island Dolphin Safe standards require live release and no shark finning RFMOs have made some progress in restricting finning of sharks Fishing closures also help relieve the impact on sharks The ISSF has adopted new provisions to reduce shark bycatch and is conducting experiments with fishermen to release sharks alive from tuna nets For more information httpiss foundationorgscienceprojectsbycatchreduction
WCPFC9-2012-OP10,12,Fish Aggregating Devices FADs It is our view that in conjunction with restrictions to reduce overfishing and release live bycatch FAD fishing can be considered a sustainable fishing method We support studies including those currently being conducted by the ISSF to find ways to reduce bycatch when using FADs
WCPFC9-2012-OP10,13,We support trial efforts of FADfree tuna fishing operations so long as they are undertaken by companies that fully adhere to our nonencirclement Dolphin Safe policy In order to verify such operations there needs to be clear chainofcustody and monitoring While FADfree fishing methods result in less bycatch than current fishing on FADs FADfree is unlikely to provide the predominant portion of world market for canned tuna FADfree fishing has other environmental consequences such as an increased carbon footprint due to the need for boats to travel longer distances to find schools of tuna and potential effects on fish species used as bait FAD fishing which should be closely regulated is expected to continue to be a significant part of canned tuna supply
WCPFC9-2012-OP10,14,For further information on the Dolphin Safe tuna label please go to httpwwwDolphinSafeorg
WCPFC9-2012-OP11,1,COMMISSION NINTH REGULAR SESSION Manila Philippines 6 December 2012 Convention on the Conservation of Migratory Species of Wild Animals Whale Sharks WCPFC92012OP11 December 2012 hrs
WCPFC9-2012-OP11,2,Convention on the Conservation of Migratory Species of Wild Animals
WCPFC9-2012-OP11,3,Secretariat provided by the United Nations Environment Programme
WCPFC9-2012-OP11,4,Statements of Fact CMS WCPFC Whale Sharks
WCPFC9-2012-OP11,5,The Secretariat of the Convention on the Conservation of Migratory Species of Wild Animals CMS is interested in the discussions at the annual meeting of the Western and Central Pacific Fisheries Commission WCPFC December 37 2012 in the Philippines with respect to protecting whale sharks Rhincodon typus from bycatch mortality associated with purse seine nets WCPFC9DP12
WCPFC9-2012-OP11,6,Australia a CMS Party and Signatory to the CMS Memorandum of Understanding MoU on the Conservation of Migratory Sharks has proposed inter alia banning the intentional setting of purse seines around whale sharks that sometimes occurs as fishermen pursue the tuna that can aggregate under this large shark
WCPFC9-2012-OP11,7,The whale shark is one of seven species of sharks listed on the CMS Appendices and covered by the CMS Shark MoU
WCPFC9-2012-OP11,8,Signatories to the CMS Sharks MOU that are members or cooperating nonmembers of the WCPFC include Australia European Union Nauru Palau Philippines Tuvalu United States of America Vanuatu and Senegal Furthermore the Cook Islands France New Zealand Panama and Ecuador are Parties to the Convention
WCPFC9-2012-OP11,9,The new Conservation Plan adopted in September 2012 by the Signatories to the CMS Shark MoU calls attention to the threat of bycatch to CMS listed sharks and urges the following
WCPFC9-2012-OP11,10,To the extent practicable develop andor use selective gear devices and techniques to ensure that the take of sharks in fisheries is sustainable and appropriately managed and that mortality of nonutilized catches is minimized to the greatest extent possible
WCPFC9-2012-OP11,11,The proposal from Australia to prohibit the deliberate setting of purse seine nets around whale sharks to mitigate the impact of inadvertent encirclement and to report interactions to appropriate authorities is therefore in line with the CMS Shark MoU and Conservation Plan
WCPFC10-2013-OP01,1,WCPFC10 Tenth Regular Session th December 6th December 2013 Cairns AUSTRALIA ISSF POSITION STATEMENT TO WCPFC10 WCPFC102013OP01 November 2013
WCPFC10-2013-OP01,2,ISSF POSITION STATEMENT Presented during the 10th Regular Session of the Western and Central Pacific Fisheries Commission in Cairns Australia 2 6 December 2013
WCPFC10-2013-OP01,3,The International Seafood Sustainability Foundation ISSF is a global partnership among the tuna industry science and WWF the global conservation organization Our mission is to work toward the sciencebased conservation and management of tuna stocks and the protection of ocean health by supporting regional fisheries management organizations and advocating for the recommendations of each organizations scientific advisory body The first part of our statement addresses three of the most important issues facing global tuna sustainability reference points and harvest control rules fleet capacity and the management of FADs The second part addresses challenges specific to the WCPFC GLOBAL ISSUES Harvest Control Rules HCRs and Reference Points HCRs are a set of welldefined management actions to be taken in response to changes in stock status with respect to target and limit reference points Unless there is a preagreed upon action plan for avoiding overfishing or for rebuilding an overfished stock long negotiations lead to delayed action or inaction This delay can lead to further damage to the stock requiring even more aggressive curtailing of fishing The adoption of HCRs is a key aspect of modern fisheries management and is also a requirement of several ecolabel certification programs ISSF endorses the application of the Precautionary Approach using clear target and limit reference points and HCRs as called for by the UN Fish Stocks Agreement and by some RFMO Conventions While most tuna RFMOs have at least begun consideration of limit reference points through their science committees none have fully implemented these measures ISSF urges all tuna RFMOs to adopt stockspecific limit and target reference points and HCRs This is one of the most important actions that RFMO members can take to ensure the longterm sustainability of tuna stocks In 2012 the WCPFC adopted limit reference points for skipjack bigeye yellowfin and South Pacific albacore This was an important first step Now the WCPFC needs to adopt target reference points for these same stocks ISSF supports the adoption of the stockspecific target reference points and the recommendations by SC9 regarding calculating uncertainty ISSF looks forward to substantial progress on target reference points and HCRs at the upcoming Second Management Objectives Workshop ISSF urges CCMs to give this matter the highest priority at WCPFC10
WCPFC10-2013-OP01,4,Closed Vessel Registries and Management of Fleet Capacity Experts agree that there is overcapacity in the global tuna fleets Fishing fleet overcapacity increases pressure to weaken management measures and eventually leads to stock overexploitation The first step towards managing capacity is to establish limited entry via a comprehensive closed vessel registry with an eye towards ultimately reducing the number of fishing vessels to an appropriate level The IATTC is the only tuna RFMO with a closed vessel registry although current capacity is well in excess of resource productivity ISSF supports the Kobe III call for a freeze in purse seine fishing capacity by developed fishing nations and creating mechanisms to transfer capacity to developing countries with aspirations to participate in these fisheries These steps should be taken now since scaling back fleet capacity will become even more difficult as new vessels are introduced To this end ISSF urges the following actions All tuna RFMOs develop capacity transfer mechanisms to allow for increased participation by developing countries without an increase in overall capacity while ensuring effective monitoring and control of the fisheries All tuna RFMOs establish rules for monitoring and managing the movement of fishing capacity among the respective Convention Areas All tuna RFMOs require unique vessel identifiers such as IMO numbers in order to strengthen their ability to monitor fishing capacity globally through the Consolidated List of Authorized Vessels CLAV ISSF supports the proposal made by the United States at TCC9 WCPFCTCC92013DP03 to make an IMO number mandatory for purseseine vessels that are steelhulled and 100 GT or GRT by January 1 2015 ISSF urges CCMs to adopt a requirement for IMO numbers at WCPFC10 and encourages the Commission to include the development of a purseseine capacity transfer mechanism in its workplan for 2015 Fish Aggregating Device FAD Management Setting on FADs accounts for nearly 40 of global tuna catches and 50 of global skipjack catches FADs are one of the most important fishing methods for tropical tunas Surprisingly however there are huge gaps in all RFMOs regarding the number of FADs being used and on details of fishing operations on individual FADs Observer programs can be used to collect much but not all of the information needed to appropriately monitor FADs Vessel operators can complement this information as well as provide additional information on individual FADs Collection and reporting of data that can be used to measure fishing effort by FADs is simply a must The WCPFC has adopted Minimum Standard Data Fields for observers that contain much of this information However these data are not being collected consistently as a matter of priority Further there are some types of information that an observer is unlikely or unable to collect such as FAD markings or other identifiers that would enable one to assess if a FAD is being reutilized or being set on or deployed for the first time or details on the FAD design size depth materials This is the type of information that vessel captains can easily collect but observers cannot do so routinely ISSF urges the WCPFC to take two actions this year 1 ensure that the regional observer program routinely collects the FAD data in the WCPFC Minimum Standard Fields and 2 expand the information required from vessels to include data on FAD deployments designs equipment and identification marks As noted by the SC9 it would be easiest to achieve the latter together with the development of electronic logsheets so as to avoid requiring captains to fill out a duplicate form The IOTC and IATTC adopted expanded FAD data collection measures at their annual meetings this year Therefore ISSF is pleased to see that the United States has tabled a proposal on FAD data collection and urges the WCPFC to adopt such a measure this year WCPFC CONSERVATION AND MANAGEMENT MEASURES CMM 201201 the Purse Seine Fishery and bigeye tuna The analyses presented at SC9 corroborate the fact that CMM 201201 has been ineffective in meeting the objectives of controlling total purse seine effort and ending the overfishing of the bigeye stock The number of purse seine fishing days continues to increase the catch of bigeye and the number of FAD sets continues to increase over the 20072011 average and the number of FAD sets per day is increasing Analyses considered by SC8 and SC9 indicate that all of the following can reduce bigeye overfishing Additional management measures to limit FAD activities such as extending the FAD closure period limiting the number of FAD sets made each year or the number of FADs that each vessel uses Reducing or eliminating the exemptions in CMM 200801 which account for 50 of the bigeye overfishing Simultaneously considering fishing effort limits for the purse seine fishery and bigeye catch limits for the longline fishery ISSF urges the WCPFC to amend CMM201201 in a comprehensive manner addressing the above elements andor utilizing other science based measures that meet the objective of ending the overfishing of the bigeye stock Sharks SC9 concluded that the stocks of oceanic whitetip and silky sharks are overfished and that overfishing is occurring or highly likely to be occurring on both species It is clear from these stock assessments that catches and mortalities of these shark stocks must be urgently reduced SC9 recommended that the Commission consider measures directed at bycatch mitigation as well as measures directed at targeted catch such as from shark lines to improve the status of the silky shark population ISSF urges CCMs to adopt comprehensive and robust shark conservation and management measures including bycatch mitigation measures improved data collection and reporting and the development of stockspecific reference points ISSF further urges the Commission to take further steps to enforce the existing conservation and management measure addressing shark finning and move to the total prohibition of the atsea removal of shark fins and mandate that fins remain naturally attached for all sharks landed Longlining and Transshipment ISSF notes with concern the continuing increase in the number of longline vessels operating in the WCPFC Convention Area the significant increase in catches of albacore in the South Pacific by longline vessels the low levels of observer coverage data indicates that coverage rates may be less than the required 5 increasing numbers of transshipments at sea beyond flag State control and the failure of some CCMs to provide the required transshipment reports or advance notifications as required by CMM 200906 ISSF notes that electronic monitoring systems are being tested and developed which could potentially be used to address some of these problems ISSF urges WCPFC10 to impose and enforce as a precautionary measure measures to limit longliner capacity in the Convention Area ISSF also urges the Commission to task its scientific body to make recommendations to WCPFC11 regarding the levels of longline capacity consistent with sustainable exploitation and prudent management of target tuna stocks ISSF further urges the Commission to amend its transshipment measure CMM 2009 in order to address these significant gaps in its effectiveness which affect traceability of the products and could result in IUU fishing Compliance and Data Gaps ISSF notes with concern the SC9 information on data gaps including annual catch estimates by EEZ the number of vessels in aggregate data for some fleets shark catches and operational catcheffort data from certain fleets These data are necessary for robust stock assessments and provision of these data is a fundamental obligation of CCMs ISSF urges all CCMs to provide these data to the SPC by the agreed deadlines and in the correct formats ISSF further urges the Commission to consider appropriate responses to promote compliance by those CCMs who have not yet provided operational catch and effort data On the broader issue of compliance monitoring ISSF continues to be concerned with the lack of transparency in the WCPFC Compliance Monitoring Scheme CMS In contrast to the other four tuna RFMOs observers are not allowed in the CMS working group meetings and no detailed information on the levels of compliance by member or the responses of members to identified non compliance are released publically Member reports on the implementation of WCPFC measures known as Part II reports are also confidential ISSF urges the Commission to reform its CMS process so that accredited observers may attend its meetings and its reports contain detailed information on the level of compliance by CCM and how they plan to address the areas of identified noncompliance ISSF also supports the development of a scheme of responses to noncompliance by the Commission as soon as possible
WCPFC10-2013-OP01,5,For further information please visit httpwwwISSFOUNDATIONorg
WCPFC10-2013-OP02,1,COMMISSION Tenth Regular Session th December 6th December 2013 Cairns AUSTRALIA GREENPEACE BRIEFING TO THE 10TH REGULAR MEETING OF WCPFC WCPFC102013OP02 November 2013
